rooms,area1,district,building_type,year,price,no_first_no_last,area3_bins
2.0,37.9,Ленинский район,кирпич,1961.0,3849999,False,0.0
2.0,47.2,Московский район,панель,1961.0,5400000,True,0.0
2.0,54.3,дер. Анкудиновка,панель,2023.0,7167600,True,2.0
2.0,42.9,Нижегородский район,кирпич,1961.0,7550000,False,1.0
3.0,63.0,Канавинский район,панель,1970.0,7295000,False,1.0
1.0,29.9,Ленинский район,кирпич,1931.0,3090000,False,1.0
0.8,25.2,дер. Анкудиновка,монолитный железобетон,2025.0,4258800,True,0.0
1.0,29.9,Автозаводский район,шлакоблок,1948.0,2999000,False,1.0
1.0,44.5,Нижегородский район,блок+утеплитель,2008.0,7450000,True,1.0
1.0,31.5,Ленинский район,кирпич,1962.0,4500000,True,0.0
1.0,30.9,Московский район,панель,1969.0,3620000,False,0.0
2.0,54.4,Нижегородский район,панель,2005.0,9540000,True,1.0
